City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
544,Mogadishu,SO,79.74,2.0371,45.3438,SYL Hotel
545,Rocha,UY,69.3,-34.4833,-54.3333,Hotel Municipal
547,Mananjary,MG,71.47,-21.2167,48.3333,Ideal Hotel Annexe
548,Veraval,IN,73.18,20.9,70.3667,Shyam
550,Mount Gambier,AU,61.3,-37.8333,140.7667,The Old Mount Gambier Gaol
552,Santa Cruz,BO,86.05,-17.8,-63.1667,Aviador Hotel Boutique
554,Jagdalpur,IN,61.77,19.0667,82.0333,Hotel Devansh Residency
555,Santa Rosa,PH,80.58,14.3122,121.1114,JARS RESORT
556,Bathsheba,BB,81.21,13.2167,-59.5167,Atlantis Hotel
561,Soyo,AO,78.82,-6.1349,12.3689,Hotel Maria Teres
562,Concepcion,CL,62.4,-36.827,-73.0498,Hotel One (ex-Biobio)
563,Quatre Cocos,MU,72.09,-20.2078,57.7625,Horisun
565,Luanda,AO,78.8,-8.8368,13.2343,Hotel Forum
567,Luganville,VU,86.25,-15.5333,167.1667,Beachfront Resort
572,Matara,LK,74.75,5.9485,80.5353,Villa Palm Breeze
574,Santo Domingo,DO,79.03,18.5001,-69.9886,Hotel Villa Campo
575,Acajutla,SV,82.44,13.5928,-89.8275,Hotel Lara
576,Kamuli,UG,61.93,0.9472,33.1197,Century Hotel
581,Anloga,GH,80.69,5.7947,0.8973,Hotel de White House
587,Dangriga,BZ,77.92,16.9692,-88.2321,Weyohan Hotel
593,Kununurra,AU,80.58,-15.7667,128.7333,Kununurra Country Club Resort
600,Puerto Narino,CO,76.51,-3.7703,-70.3831,Eco Hotel Euare
601,Kasane,BW,67.91,-17.8167,25.15,Kasane Travel Lodge
605,Buraydah,SA,62.01,26.326,43.975,دنا للوحدات السكنية
623,Eyl,SO,78.55,7.9803,49.8164,فندق ايل دابي
627,Bac Lieu,VN,78.62,9.285,105.7244,Khách sạn Bạc Liêu
630,Phan Thiet,VN,76.28,10.9333,108.1,Khách sạn Cà Ty
631,Owando,CG,70.97,-0.4819,15.8999,Hotel de l'Eglise
632,Manta,EC,73.18,-0.95,-80.7333,La Gaviota
637,Rock Sound,BS,78.44,24.9,-76.2,Rock Sound Club
639,Kalemie,CD,68.09,-5.9475,29.1947,Hotel du Lac
640,Puerto Carreno,CO,78.42,6.189,-67.4859,Carreño Plaza
645,Valdivia,CL,62.69,-39.8142,-73.2459,Esmeralda
649,Kolokani,ML,74.62,13.5728,-8.0339,Hôtel kolokani
652,Talcahuano,CL,62.28,-36.7167,-73.1167,Club Recreativo Armada de Chile
660,Pasighat,IN,60.46,28.0667,95.3333,Aane Hotel
661,Porbandar,IN,72.0,21.6422,69.6093,Toran Tourist Bungalow
664,Kralendijk,BQ,76.98,12.15,-68.2667,Hotel Bonaire Inn
665,Khammam,IN,69.71,17.25,80.15,Sindhu
668,Gurupi,BR,79.72,-11.7292,-49.0686,Via Norte
670,Tartagal,AR,67.53,-22.5164,-63.8013,Majoy
673,Tres Passos,BR,73.06,-27.4556,-53.9319,Imperial
679,Oussouye,SN,75.61,12.485,-16.5469,Campement Alulum
680,Mitsamiouli,KM,78.3,-11.3847,43.2844,Hotel le Paradis
681,Pangai,TO,80.49,-19.8,-174.35,Billy's Place
683,Weligama,LK,74.93,5.9667,80.4167,Basecamp
689,Las Vegas,US,63.28,36.175,-115.1372,Downtown Grand
693,Trincomalee,LK,79.57,8.5711,81.2335,Silver Star Inn
694,Mahibadhoo,MV,79.57,3.7833,72.9667,Coral View Inn
702,Teshie,GH,80.56,5.5836,-0.1072,Ingot Hotel
