City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
60,Hithadhoo,MV,-0.6,73.0833,80.76,68,38,6.98
61,Ballitoville,ZA,-29.539,31.2144,71.24,83,0,9.22
62,Plymouth,US,41.8334,-70.8328,40.87,51,40,11.5
63,San Buenaventura,MX,27.0833,-101.5333,66.47,49,0,3.89
64,Gua Musang,MY,4.8823,101.9644,71.83,99,100,1.39
65,Svetlogorsk,BY,52.6333,29.7333,15.31,93,89,6.11
66,Dunedin,NZ,-45.8742,170.5036,52.81,64,25,18.01
67,Kahului,US,20.8947,-156.47,82.42,75,40,16.11
68,Huaihua,CN,27.5494,109.9592,31.35,89,97,1.39
69,Gorin,RU,51.1983,136.6669,-17.99,98,8,3.44
70,Kenai,US,60.5544,-151.2583,15.15,85,0,5.75
71,Byron Bay,AU,-28.65,153.6167,68.94,81,91,21.63
72,Kodiak,US,57.79,-152.4072,36.91,60,0,19.57
73,Gat,IL,31.61,34.7642,62.4,67,0,4.99
74,Cartagena Del Chaira,CO,1.3349,-74.8429,77.56,82,71,3.58
75,Lompoc,US,34.6391,-120.4579,59.14,72,100,17.27
76,Yining,CN,29.0361,114.5636,30.42,97,82,0.34
77,Rawson,AR,-43.3002,-65.1023,71.15,38,55,31.9
78,Acapulco,MX,16.8634,-99.8901,82.35,70,10,7.99
79,Fairbanks,US,64.8378,-147.7164,3.54,85,75,3.44
80,East London,ZA,-33.0153,27.9116,71.2,93,83,5.91
81,Meulaboh,ID,4.1363,96.1285,74.28,91,100,3.58
82,Yaan,NG,7.3833,8.5667,77.34,28,79,1.99
83,Suluq,LY,31.6682,20.2521,59.45,62,20,5.44
84,Dikson,RU,73.5069,80.5464,26.55,96,100,15.32
85,Laguna,US,38.421,-121.4238,51.3,94,100,9.22
86,Port Macquarie,AU,-31.4333,152.9167,66.88,74,100,14.07
87,Goderich,CA,43.7501,-81.7165,32.92,69,82,8.05
88,Hasaki,JP,35.7333,140.8333,48.22,78,100,12.93
89,Tiksi,RU,71.6872,128.8694,-9.83,96,100,10.94
90,Menongue,AO,-14.6585,17.691,66.25,68,16,4.32
91,Lata,PT,40.1629,-8.3327,42.08,76,0,4.0
92,Yellowknife,CA,62.456,-114.3525,-17.88,76,20,6.91
93,Ponta Do Sol,PT,32.6667,-17.1,67.01,74,28,7.38
