City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
100,Istok,42.7808,20.4875,42.55,93,100,2.82,XK,2022-12-01 00:59:49
101,Bredasdorp,-34.5322,20.0403,62.51,83,92,3.02,ZA,2022-12-01 00:59:49
102,Port Augusta,-32.5,137.7667,78.6,29,5,9.06,AU,2022-12-01 00:59:50
103,Qostanay,53.1667,63.5833,-9.11,77,0,11.18,KZ,2022-12-01 00:59:50
104,Machachi,-0.5,-78.5667,53.1,91,100,1.66,EC,2022-12-01 00:59:50
105,Phan Thiet,10.9333,108.1,79.38,73,100,5.44,VN,2022-12-01 00:55:48
106,Jacareacanga,-6.2222,-57.7528,75.63,90,100,4.32,BR,2022-12-01 00:59:51
107,Lebu,-37.6167,-73.65,53.17,75,0,21.3,CL,2022-12-01 00:59:51
108,Polewali,-3.4324,119.3435,82.92,73,98,2.13,ID,2022-12-01 00:59:52
109,Ambon,-3.6954,128.1814,82.54,83,40,3.44,ID,2022-12-01 00:59:52
110,Cayenne,4.9333,-52.3333,78.84,89,75,3.44,GF,2022-12-01 00:55:50
111,Saint-Philippe,-21.3585,55.7679,72.99,78,40,7.78,RE,2022-12-01 00:59:53
112,Vardo,70.3705,31.1107,31.98,86,100,9.22,NO,2022-12-01 00:56:47
113,Cairns,-16.9167,145.7667,82.06,83,75,5.75,AU,2022-12-01 00:59:54
114,Hermanus,-34.4187,19.2345,59.81,83,100,2.17,ZA,2022-12-01 00:59:54
115,Tonantins,-2.8731,-67.8022,79.7,79,99,3.94,BR,2022-12-01 00:59:54
116,Bengkulu,-3.8004,102.2655,77.59,76,97,3.27,ID,2022-12-01 00:59:55
117,Moose Factory,51.2585,-80.6094,28.4,80,100,18.41,CA,2022-12-01 00:59:55
118,Dolores,-36.3132,-57.6792,63.79,96,100,12.21,AR,2022-12-01 00:59:55
119,Evensk,61.95,159.2333,28.02,98,100,6.67,RU,2022-12-01 00:59:56
120,Cape Town,-33.9258,18.4232,65.26,85,40,8.05,ZA,2022-12-01 00:59:56
121,Sinnar,13.5691,33.5672,80.13,21,0,12.28,SD,2022-12-01 00:59:57
122,Arraial Do Cabo,-22.9661,-42.0278,73.36,83,100,13.8,BR,2022-12-01 00:59:57
123,Chake Chake,-5.2459,39.7666,74.77,90,82,6.2,TZ,2022-12-01 00:59:57
124,Castro,-24.7911,-50.0119,60.15,98,74,4.45,BR,2022-12-01 00:59:58
125,Partenit,44.578,34.3446,49.14,74,100,10.78,UA,2022-12-01 00:59:58
126,Port Alfred,-33.5906,26.891,65.17,94,100,4.83,ZA,2022-12-01 00:59:59
127,Eregli,37.5133,34.0467,46.42,78,12,1.1,TR,2022-12-01 00:59:59
128,Alyangula,-13.8483,136.4192,88.21,53,97,10.92,AU,2022-12-01 00:56:44
129,Kavieng,-2.5744,150.7967,84.79,66,100,2.91,PG,2022-12-01 00:59:59
130,Bunia,1.5667,30.25,61.52,93,100,1.32,CD,2022-12-01 00:55:12
131,Turukhansk,65.8167,87.9833,5.74,94,100,14.05,RU,2022-12-01 00:59:22
132,Kaeo,-35.1,173.7833,72.32,71,100,12.24,NZ,2022-12-01 01:00:00
133,Palana,59.1167,159.9667,26.51,85,100,17.27,RU,2022-12-01 00:56:43
134,Koboko,3.4136,30.9599,64.09,84,100,3.4,UG,2022-12-01 01:00:01
135,Sherkot,29.35,78.5833,56.57,78,0,4.97,IN,2022-12-01 01:00:01
136,Padang,-0.9492,100.3543,78.85,95,100,3.36,ID,2022-12-01 01:00:02
137,Sisimiut,66.9395,-53.6735,15.4,82,100,26.15,GL,2022-12-01 01:00:03
138,Puerto Ayora,-0.7393,-90.3518,69.55,89,58,7.0,EC,2022-12-01 01:01:03
139,Simpang,-1.2667,104.0833,75.58,93,100,2.24,ID,2022-12-01 01:01:04
140,Tomatlan,19.9333,-105.25,72.16,82,7,1.14,MX,2022-12-01 01:01:05
141,Anzio,41.4853,12.6179,48.97,84,100,4.38,IT,2022-12-01 01:01:05
142,Santa Isabel Do Rio Negro,-0.4139,-65.0192,74.35,96,65,2.26,BR,2022-12-01 01:01:06
143,Clyde River,70.4692,-68.5914,-27.44,92,25,5.5,CA,2022-12-01 01:01:06
144,Vila Velha,-20.3297,-40.2925,76.95,94,100,6.91,BR,2022-12-01 01:01:07
145,Upernavik,72.7868,-56.1549,7.57,91,100,19.91,GL,2022-12-01 01:01:07
146,Collierville,35.042,-89.6645,38.88,59,0,3.67,US,2022-12-01 01:01:07
147,Carutapera,-1.195,-46.02,76.39,87,24,4.07,BR,2022-12-01 01:01:08
148,Nava,28.4167,-100.7667,54.41,44,13,6.15,MX,2022-12-01 00:58:31
149,Bubanza,-3.1167,29.4,67.98,93,100,2.73,BI,2022-12-01 01:01:09
150,Key Largo,25.0865,-80.4473,78.01,82,7,10.42,US,2022-12-01 01:01:09
151,Buala,-8.145,159.5921,83.35,74,100,5.48,SB,2022-12-01 01:00:27
152,Kurumkan,54.3,110.3,-8.75,98,100,1.79,RU,2022-12-01 01:01:10
153,Mar Del Plata,-38.0023,-57.5575,64.09,96,100,11.99,AR,2022-12-01 01:01:10
154,Namibe,-15.1961,12.1522,68.97,79,100,8.59,AO,2022-12-01 01:01:11
155,Faanui,-16.4833,-151.75,80.4,78,16,14.58,PF,2022-12-01 01:01:11
156,Codrington,-38.2667,141.9667,61.72,70,90,11.61,AU,2022-12-01 00:56:32
157,Qaanaaq,77.484,-69.3632,-22.77,80,15,3.47,GL,2022-12-01 01:01:12
158,Fort Nelson,58.8053,-122.7002,-16.06,86,11,1.01,CA,2022-12-01 01:01:12
159,Sept-Iles,50.2001,-66.3821,32.05,90,100,29.93,CA,2022-12-01 01:00:22
160,Uige,-7.6087,15.0613,66.2,97,100,1.61,AO,2022-12-01 01:01:12
161,Albany,42.6001,-73.9662,43.05,73,79,13.38,US,2022-12-01 01:00:21
162,Malartic,48.1335,-78.1328,28.51,74,99,14.07,CA,2022-12-01 01:00:08
163,Lucapa,-8.4192,20.7447,63.66,97,100,1.45,AO,2022-12-01 01:01:13
164,San Jose,37.3394,-121.895,56.53,56,0,4.61,US,2022-12-01 00:56:52
165,Baykit,61.67,96.37,-0.51,97,100,3.71,RU,2022-12-01 00:57:19
166,Opuwo,-18.0607,13.84,72.03,46,91,4.97,NA,2022-12-01 01:01:14
167,Touros,-5.1989,-35.4608,78.71,70,98,10.96,BR,2022-12-01 01:01:14
168,Zhurivka,50.5028,31.7849,28.83,58,80,9.28,UA,2022-12-01 01:01:15
169,Safakulevo,54.9901,62.5442,1.08,91,100,5.97,RU,2022-12-01 01:01:16
170,Bad Hofgastein,47.1667,13.1,33.67,86,100,1.48,AT,2022-12-01 01:01:16
171,Sao Filipe,14.8961,-24.4956,75.43,65,100,8.25,CV,2022-12-01 01:01:17
172,Nanortalik,60.1432,-45.2371,27.54,78,65,32.59,GL,2022-12-01 01:01:17
173,Santa Marta,11.2408,-74.199,82.89,72,20,17.0,CO,2022-12-01 00:57:13
174,Saint-Augustin,51.226,-58.6502,6.55,93,100,2.73,CA,2022-12-01 01:01:17
175,New Norfolk,-42.7826,147.0587,59.72,34,12,1.45,AU,2022-12-01 01:01:18
176,Xuddur,4.1213,43.8894,70.45,82,97,12.88,SO,2022-12-01 01:01:18
177,Port Elizabeth,-33.918,25.5701,65.1,91,0,6.91,ZA,2022-12-01 00:59:23
178,Shestakovo,56.4915,103.96,-2.24,96,100,9.15,RU,2022-12-01 01:01:19
179,Cidreira,-30.1811,-50.2056,69.98,95,100,11.9,BR,2022-12-01 01:01:20
180,Antsohihy,-14.8796,47.9875,74.46,86,13,0.83,MG,2022-12-01 01:01:20
181,Pevek,69.7008,170.3133,8.06,89,100,5.53,RU,2022-12-01 00:56:43
182,Saldanha,-33.0117,17.9442,62.8,92,100,7.54,ZA,2022-12-01 01:01:21
183,Ribeira Grande,38.5167,-28.7,61.77,79,13,3.0,PT,2022-12-01 01:01:22
184,Sampit,-2.5333,112.95,79.54,86,100,4.23,ID,2022-12-01 00:58:42
185,Talnakh,69.4865,88.3972,-3.28,99,97,5.03,RU,2022-12-01 01:02:22
186,Talcahuano,-36.7167,-73.1167,53.65,76,0,13.06,CL,2022-12-01 01:02:23
187,La Ronge,55.1001,-105.2842,-4.49,82,100,5.46,CA,2022-12-01 01:00:31
188,Hithadhoo,-0.6,73.0833,80.85,69,60,6.76,MV,2022-12-01 00:58:15
189,Sitka,57.0531,-135.33,22.75,44,1,4.36,US,2022-12-01 00:58:09
190,Yulara,-25.2406,130.9889,83.41,15,0,9.78,AU,2022-12-01 01:02:23
191,Floro,61.5996,5.0328,42.76,75,100,9.22,NO,2022-12-01 01:02:24
192,Khatanga,71.9667,102.5,-26.5,95,100,7.45,RU,2022-12-01 01:02:24
193,Nipawin,53.3668,-104.0009,-5.13,97,100,7.05,CA,2022-12-01 01:00:29
194,Birsk,55.4211,55.5428,4.17,96,100,1.28,RU,2022-12-01 01:02:25
195,Teya,60.3778,92.6267,1.9,96,100,7.83,RU,2022-12-01 01:02:26
196,East London,-33.0153,27.9116,70.56,90,100,2.51,ZA,2022-12-01 01:00:35
197,Fukue,32.6881,128.8419,48.09,66,100,21.05,JP,2022-12-01 01:02:26
198,Zhigansk,66.7697,123.3711,-29.78,98,72,7.87,RU,2022-12-01 01:02:27
199,Fortuna,40.5982,-124.1573,50.94,90,100,16.11,US,2022-12-01 01:00:54
200,Kuytun,54.3419,101.5036,1.65,73,100,12.75,RU,2022-12-01 01:02:28
201,Khani,41.9563,42.9566,44.17,81,31,5.57,GE,2022-12-01 00:58:11
202,Ponta Delgada,37.7333,-25.6667,60.49,94,20,3.44,PT,2022-12-01 01:02:28
203,Mongo,12.1844,18.693,72.37,22,100,6.38,TD,2022-12-01 01:02:29
204,Hovd,48.0056,91.6419,-5.13,82,100,4.29,MN,2022-12-01 01:01:45
205,Skibbereen,51.55,-9.2667,54.1,95,100,11.21,IE,2022-12-01 01:02:29
206,Antofagasta,-23.65,-70.4,63.03,81,11,5.75,CL,2022-12-01 01:00:05
207,Kovernino,57.1253,43.8142,5.05,98,59,1.88,RU,2022-12-01 01:02:30
208,Santa Maria,-29.6842,-53.8069,73.6,74,97,9.55,BR,2022-12-01 01:02:30
209,Misratah,32.3754,15.0925,60.69,52,48,15.46,LY,2022-12-01 01:02:31
210,Belvedere Marittimo,39.6179,15.8617,50.11,76,100,5.68,IT,2022-12-01 01:02:31
211,Kalmunai,7.4167,81.8167,76.3,88,99,2.95,LK,2022-12-01 01:02:32
212,Kisumu,-0.1022,34.7617,64.8,81,100,4.74,KE,2022-12-01 01:01:25
213,Zhuhai,22.2769,113.5678,58.78,88,40,23.02,CN,2022-12-01 01:02:32
214,Chor,25.5167,69.7667,63.59,25,1,6.8,PK,2022-12-01 01:02:33
215,Epernay,49.05,3.95,42.91,70,100,8.7,FR,2022-12-01 01:02:33
216,Gat,31.61,34.7642,58.41,61,0,3.09,IL,2022-12-01 00:58:05
217,Port Macquarie,-31.4333,152.9167,64.89,68,100,9.28,AU,2022-12-01 00:59:37
218,Flinders,-34.5833,150.8552,65.25,62,100,8.21,AU,2022-12-01 01:01:15
219,Flin Flon,54.7682,-101.865,-13.94,97,100,4.56,CA,2022-12-01 01:02:34
220,Constitucion,-35.3333,-72.4167,54.28,81,0,12.75,CL,2022-12-01 01:02:34
221,Shenjiamen,29.9576,122.298,48.92,86,100,18.66,CN,2022-12-01 01:02:35
222,Puerto Carreno,6.189,-67.4859,76.33,76,6,10.92,CO,2022-12-01 01:02:36
223,Vilhena,-12.7406,-60.1458,72.45,74,7,2.21,BR,2022-12-01 00:58:09
224,Tiksi,71.6872,128.8694,-11.99,99,100,14.88,RU,2022-12-01 01:02:36
225,Tabou,4.423,-7.3528,76.98,87,100,3.71,CI,2022-12-01 01:02:37
226,Port Hardy,50.6996,-127.4199,25.59,68,92,9.17,CA,2022-12-01 01:00:30
227,Lorengau,-2.0226,147.2712,84.36,71,100,6.04,PG,2022-12-01 01:02:37
228,Te Anau,-45.4167,167.7167,61.9,46,15,4.99,NZ,2022-12-01 01:02:38
229,Fare,-16.7,-151.0167,79.97,78,10,14.34,PF,2022-12-01 01:02:39
230,Manokwari,-0.8667,134.0833,80.8,77,99,1.72,ID,2022-12-01 01:02:39
231,Quatre Cocos,-20.2078,57.7625,72.09,73,76,5.88,MU,2022-12-01 01:03:40
232,Puerto Madryn,-42.7692,-65.0385,58.71,62,0,19.17,AR,2022-12-01 01:01:05
233,Stephenville,32.2207,-98.2023,41.16,47,0,5.75,US,2022-12-01 01:03:40
234,Tayu,-6.5397,111.0518,81.14,75,91,9.6,ID,2022-12-01 01:03:40
235,Brae,60.3964,-1.353,48.22,83,100,23.38,GB,2022-12-01 01:03:41
236,Nuuk,64.1835,-51.7216,22.87,92,100,31.0,GL,2022-12-01 01:03:41
237,Dongsheng,39.8161,109.9776,6.73,17,0,12.57,CN,2022-12-01 01:03:42
238,Benghazi,32.1167,20.0667,65.14,59,21,18.28,LY,2022-12-01 01:03:42
239,Margate,51.3813,1.3862,49.69,86,55,5.01,GB,2022-12-01 01:01:32
240,Praia,14.9215,-23.5087,74.34,66,100,12.08,CV,2022-12-01 01:03:43
241,Slave Lake,55.2834,-114.769,-4.02,84,100,4.61,CA,2022-12-01 01:03:43
242,Zapotiltic,19.6167,-103.4333,64.44,92,47,2.26,MX,2022-12-01 01:03:44
243,Bana,5.1481,10.2762,59.99,82,87,2.89,CM,2022-12-01 01:03:44
244,Gornopravdinsk,60.05,69.9,-13.99,96,82,3.0,RU,2022-12-01 01:03:45
245,High Level,58.5169,-117.136,-12.15,95,11,1.14,CA,2022-12-01 01:01:05
246,Heihe,50.2441,127.4902,-10.61,75,0,8.32,CN,2022-12-01 01:03:45
